id,clause_ref,requirement_type,text,actor,action,object,conditions,source_clause
1.136,FMVSS_127,functional,"Automatic emergency braking (AEB) system is a system that detects an imminent collision with vehicles, objects, and road users in or near the path of a vehicle and automatically controls the vehicle's service brakes to avoid or mitigate the collision.",Automatic emergency braking (AEB) system,detects,"imminent collision with vehicles, objects, and road users",in or near the path of a vehicle,FMVSS_127
1.137,FMVSS_127,functional,Automatic emergency braking (AEB) system automatically controls the vehicle's service brakes to avoid or mitigate the collision.,Automatic emergency braking (AEB) system,controls,vehicle's service brakes,to avoid or mitigate the collision,FMVSS_127
1.138,S5.1.1,functional,"A vehicle is required to have a forward collision warning system, as defined in S4 that provides an auditory and visual signal to the driver of an impending collision with a lead vehicle.",vehicle,have,forward collision warning system,as defined in S4,S5.1.1
1.139,S5.1.1,functional,The system must operate under the conditions specified in S6 when traveling at any forward speed that is greater than 10 km/h (6.2 mph) and less than 145 km/h (90.1 mph).,system,operate,,under the conditions specified in S6 when traveling at any forward speed that is greater than 10 km/h (6.2 mph) and less than 145 km/h (90.1 mph),S5.1.1
1.140,S5.1.1.a.1,performance,The auditory signal must have a high fundamental frequency of at least 800 Hz.,auditory signal,have,high fundamental frequency,of at least 800 Hz,S5.1.1.a.1
1.141,S5.1.1.a.2,performance,The auditory signal must have a tempo in the range of 6-12 pulses per second and a duty cycle in the range of 0.25-0.95.,auditory signal,have,tempo and duty cycle,tempo in the range of 6-12 pulses per second and a duty cycle in the range of 0.25-0.95,S5.1.1.a.2
1.142,S3,performance,The auditory signal must have a minimum intensity of 15-30 dB above the masked threshold.,,have,auditory signal,,S3
1.143,S3,performance,"Entertainment and other audio content not related to or essential for safe performance of the driving task must be muted, or reduced in volume to within 5 dB of the masked threshold during presentation of the FCW auditory signal.",,"be muted, or reduced in volume",entertainment and other audio content not related to or essential for safe performance of the driving task,during presentation of the FCW auditory signal,S3
1.144,S5.1.2,interface,The visual signal must be located within an ellipse that extends 18 degrees vertically and 10 degrees horizontally of the driver forward line of sight based on the forward-looking eye midpoint (M) as described in S14.1.5. of § 571.111.,,be located,visual signal,within an ellipse that extends 18 degrees vertically and 10 degrees horizontally of the driver forward line of sight based on the forward-looking eye midpoint (M),S5.1.2
1.145,S5.1.2,interface,"The visual signal must include the crash pictorial symbol in SAE J2400, 4.1.16, incorporated by reference (see § 571.5).",,include,"crash pictorial symbol in SAE J2400, 4.1.16",,S5.1.2
1.146,S5.1.2,interface,The visual signal symbol must be red in color and steady burning.,,be,visual signal symbol,red in color and steady burning,S5.1.2
1.147,S5.2.1,functional,"A vehicle is required to have a forward collision warning system, as defined in S4, that provides an auditory and visual signal to the driver of an impending collision with a pedestrian.",vehicle,have,forward collision warning system,as defined in S4,S5.2.1
1.148,S5.2.1,performance,The system must operate under the conditions specified in S6 when the vehicle is traveling at any forward speed that is greater than 10 km/h (6.2 mph) and less than 73 km/h (45.3 mph).,system,operate,,under the conditions specified in S6 when the vehicle is traveling at any forward speed greater than 10 km/h (6.2 mph) and less than 73 km/h (45.3 mph),S5.2.1
1.149,S5.2.1,performance,The forward collision warning system must meet the auditory signal and visual signal requirements specified in S5.1.1.,forward collision warning system,meet,auditory signal and visual signal requirements,specified in S5.1.1,S5.2.1
1.150,S5.2.2,functional,A vehicle is required to have an automatic emergency braking system that applies brakes automatically when a collision with a pedestrian is imminent when the vehicle is under the conditions specified in S6 and is traveling at any forward speed that is greater than 10 km/h (6.2 mph) and less than 73 km/h (45.3 mph).,vehicle,have,automatic emergency braking system,"when a collision with a pedestrian is imminent, under the conditions specified in S6, and traveling at any forward speed greater than 10 km/h (6.2 mph) and less than 73 km/h (45.3 mph)",S5.2.2
1.151,S6.1.4,environmental,The ambient illumination on the test surface is any level at or below 0.2 lux.,,is,ambient illumination on the test surface,dark testing,S6.1.4
1.152,S6.1.4,environmental,Testing is performed under any lunar phase.,,is performed,testing,under any lunar phase,S6.1.4
1.153,S6.1.4,environmental,Testing is not performed while driving toward the moon such that the hor n a n l   a he centerline of the subject vehicle is less ( printed page 39781) than 25 degrees and the lunar elevation angle is less than 15 degrees.,,is not performed,testing,while driving toward the moon such that the centerline of the subject vehicle is less than 25 degrees and the lunar elevation angle is less than 15 degrees,S6.1.4
1.154,S6.1.4,environmental,"Testing is not conducted during periods of precipitation or when visibility is affected by fog, smoke, ash, or other particulate.",,is not conducted,testing,"during periods of precipitation or when visibility is affected by fog, smoke, ash, or other particulate",S6.1.4
1.155,S6.2.2,performance,"The road test surface produces a peak friction coefficient (PFC) of 1.02 when measured using an ASTM F2493 standard reference test tire, in accordance with ASTM E1337-19 (incorporated by reference, see § 571.5), at a speed of 64 km/h (40 mph), without water delivery.",The road test surface,produces,a peak friction coefficient (PFC) of 1.02,"when measured using an ASTM F2493 standard reference test tire, in accordance with ASTM E1337-19, at a speed of 64 km/h (40 mph), without water delivery",S6.2.2
1.156,S6.2.4,interface,"The road surface within 2 m of the intended travel path is marked with zero, one, or two lines of any configuration or color.",The road surface,is marked,"with zero, one, or two lines of any configuration or color",within 2 m of the intended travel path,S6.2.4
1.157,S6.2.4,interface,"If one line is used, it is straight.",one line,is,straight,If one line is used,S6.2.4
1.158,S6.2.4,interface,"If two lines are used, they are straight, parallel to each other, and at any distance from 2.7 m to 4.5 m apart.",two lines,are,"straight, parallel to each other, and at any distance from 2.7 m to 4.5 m apart",If two lines are used,S6.2.4
1.159,S6.2.5,test,"Testing is conducted such that the vehicle does not travel bseus n o   n u ss   ens bridges, or gantries.",Testing,is conducted,"such that the vehicle does not travel bseus n o   n u ss   ens bridges, or gantries",,S6.2.5
1.160,S6.2.5,test,"No vehicles, obstructions, or stationary objects are within 7.4 m of either side of the intended travel path except as specified.","No vehicles, obstructions, or stationary objects",are within,7.4 m of either side of the intended travel path,except as specified,S6.2.5
1.161,S6.3.1,test,Testing is not conducted while the AEB malfunction telltale specified in S5.4 is illuminated.,,not conducted,Testing,while the AEB malfunction telltale specified in S5.4 is illuminated,S6.3.1
1.162,S6.3.2,functional,"All sensors used by the system and any part of the vehicle immediately ahead of the sensors, such as plastic trim, the windshield, etc., are free of debris or obstructions.",,are free,All sensors used by the system and any part of the vehicle immediately ahead of the sensors,,S6.3.2
1.163,S6.3.3,functional,The vehicle is equipped with the original tires present at the time of initial sale.,,is equipped,the original tires present at the time of initial sale,,S6.3.3
1.164,S6.3.3,performance,The tires are inflated to the vehicle manufacturer's recommended cold tire inflation pressure(s) specified on the vehicle's placard or the tire inflation pressure label.,,are inflated,The tires,to the vehicle manufacturer's recommended cold tire inflation pressure(s) specified on the vehicle's placard or the tire inflation pressure label,S6.3.3
1.165,S6.3.13,performance,The load does not cause the vehicle to exceed its GVWR or any axle to exceed its GAWR.,The load,does not cause,the vehicle to exceed its GVWR or any axle to exceed its GAWR,,S6.3.13
1.166,S6.3.14,performance,"The vehicle is driven at a speed of 10 km/h or higher for at least one minute prior to testing, and subsequently the starting system is not cycled off prior to testing.",The vehicle,is driven,at a speed of 10 km/h or higher for at least one minute prior to testing,subsequently the starting system is not cycled off prior to testing,S6.3.14
1.167,S6.4.1,interface,"The vehicle test device is specified in 49 CFR part 596, subpart C",The vehicle test device,is specified,"in 49 CFR part 596, subpart C",,S6.4.1
1.168,S6.4.1,performance,"Local fluttering of trd s s s sns s e ry from the reference surface, and distortion of the lead vehicle's overall shape does not exceed 25 mm in any direction.",Local fluttering and distortion,does not exceed,25 mm in any direction,from the reference surface,S6.4.1
1.169,S6.4.2,interface,"Adult pedestrian test mannequin is specified in 49 CFR part 596, subpart B",Adult pedestrian test mannequin,is specified,"in 49 CFR part 596, subpart B",,S6.4.2
1.170,S6.3.4,functional,"If the road surface is marked with a single or double lane line, the intended travel path is parallel to and 1.8 m from the inside of the closest line.",,parallel,intended travel path,road surface is marked with a single or double lane line,S6.3.4
1.171,S6.3.4,functional,"If the road surface is marked with two lane lines bordering the lane, the intended travel path is centered between the two lines.",,centered,intended travel path,road surface is marked with two lane lines bordering the lane,S6.3.4
1.172,S7.1,test,"For each test run conducted, the subject vehicle speed (Vsv), lead vehicle speed (VLv), headway, and lead vehicle deceleration will be selected from the ranges specified in table 1 to S7.1.",,selected,"subject vehicle speed (Vsv), lead vehicle speed (VLv), headway, and lead vehicle deceleration",each test run conducted,S7.1
1.173,S7.1,performance,"When approaching a stopped lead vehicle, the subject vehicle speed (Vsv) can be any between 10-80 km/h, the lead vehicle speed (VLv) is 0.",,can be any between,subject vehicle speed (Vsv),approaching a stopped lead vehicle,S7.1
1.174,S8.3.1,test,The testing area is set up in accordance with figure 3 to this section.,testing area,is set up,in accordance with figure 3 to this section,,S8.3.1
1.175,S8.3.1,environmental,"Testing is conducted in the daylight or darkness conditions, except that testing with the pedestrian at the 25 percent overlap is only conducted in daylight conditions.",,is conducted,in the daylight or darkness conditions,except that testing with the pedestrian at the 25 percent overlap is only conducted in daylight conditions,S8.3.1
1.176,S8.3.1,test,Testing is conducted using the adult pedestrian test mannequin.,,is conducted,using the adult pedestrian test mannequin,,S8.3.1
1.177,S8.3.2(a),test,The testing area is set up in accordance with figure 4 to this section.,The testing area,is set up,in accordance with figure 4 to this section,,S8.3.2(a)
1.178,S8.3.2(b),test,Testing is conducted in the daylight condition.,,Testing is conducted,in the daylight condition,,S8.3.2(b)
1.179,S8.3.2(c),test,Testing is conducted using the adult pedestrian mannequin.,,Testing is conducted,using the adult pedestrian mannequin,,S8.3.2(c)
1.180,S8.3.2(d),test,The movement of the pedestrian test mannequin is perpendicular to the intended travel path.,The movement of the pedestrian test mannequin,is,perpendicular to the intended travel path,,S8.3.2(d)
1.181,S8.3.2(e),test,The pedestrian test mannequin is set up 6.0 ± 0.1 m to the left of the intended travel path.,The pedestrian test mannequin,is set up,6.0 ± 0.1 m to the left of the intended travel path,,S8.3.2(e)
1.182,S8.3.2(f),test,The intended overlap is 50 percent.,The intended overlap,is,50 percent,,S8.3.2(f)
1.183,S8.3.2(h),performance,The pedestrian test mannequin speed is 8 km/h.,The pedestrian test mannequin speed,is,8 km/h,,S8.3.2(h)
1.184,h,performance,The pedestrian test mannequin speed is 8 km/h.,,is,pedestrian test mannequin speed,,h
1.185,S8.3.3.a,test,The testing area is set up in accordance with figure 5 to this section.,,is set up,testing area,in accordance with figure 5 to this section,S8.3.3.a
1.186,S8.3.3.b,test,Testing is conducted in the daylight condition.,,is conducted,Testing,in the daylight condition,S8.3.3.b
1.187,S8.3.3.c,test,Testing is conducted using the child pedestrian test mannequin.,,is conducted,Testing,using the child pedestrian test mannequin,S8.3.3.c
1.188,S8.3.3.d,test,The movement of the pedestrian test mannequin is perpendicular to the intended travel path.,,is,movement of the pedestrian test mannequin,perpendicular to the intended travel path,S8.3.3.d
1.189,S8.3.4 (i),performance,The pedestrian test mannequin speed is 5 km/h.,,speed,pedestrian test mannequin,,S8.3.4 (i)
1.190,S8.3.4 (a),functional,"Before the headway corresponds to Lo, the subject vehicle is driven at any speed, in any direction, on any road surface, for any amount of time.",subject vehicle,is driven,,Before the headway corresponds to Lo,S8.3.4 (a)
1.191,S8.3.4 (b),functional,The subject vehicle approaches the crossing path of the pedestrian test mannequin.,subject vehicle,approaches,the crossing path of the pedestrian test mannequin,,S8.3.4 (b)
1.192,S8.3.4 (c),performance,"Beginning when the headway corresponds to Lo, the subject vehicle speed is maintained within 1.6 km/h of the test speed with minimal and smooth accelerator pedal inputs.",subject vehicle,is maintained,speed,Beginning when the headway corresponds to Lo,S8.3.4 (c)
1.193,S8.3.4 (d),performance,"Beginning when the headway corresponds to Lo, the subject vehicle heading is maintained with minimal steering inputs such that the subject vehicle stays on the intended travel path, and the yaw rate of the subject vehicle does not exceed ±1.0 deg/s prior to any automated braking onset",subject vehicle,is maintained,heading,"Beginning when the headway corresponds to Lo, and the yaw rate of the subject vehicle does not exceed ±1.0 deg/s prior to any automated braking onset",S8.3.4 (d)
1.194,S8.1.2,test,"The pedestrian test mannequin apparatus is triggered at a time such that the pedestrian test mannequin meets the intended overlap, subject to the criteria in S8.1.2.",pedestrian test mannequin apparatus,is triggered,pedestrian test mannequin,"such that the pedestrian test mannequin meets the intended overlap, subject to the criteria in S8.1.2.",S8.1.2
1.195,S8.1.2,performance,The pedestrian test mannequin achieves its intended speed within 1.5 m after the apparatus begins to move and maintains its intended speed within 0.4 km/h until the test completion criteria of S8.3.6 are satisfied.,pedestrian test mannequin,achieves,its intended speed,within 1.5 m after the apparatus begins to move and maintains its intended speed within 0.4 km/h until the test completion criteria of S8.3.6 are satisfied.,S8.1.2
1.196,S8.3.5(a),functional,"After forward collision warning or subject vehicle braking onset, the subject vehicle's accelerator pedal is released at any rate such that it is fully released within 500 ms.",subject vehicle,releases,accelerator pedal,after forward collision warning or subject vehicle braking onset and at any rate such that it is fully released within 500 ms.,S8.3.5(a)
1.197,S8.3.5(a),other,This action is omitted for vehicles with cruise control active.,,is omitted,this action,for vehicles with cruise control active.,S8.3.5(a)
1.198,S8.3.5(b),functional,No manual brake application is made until the test completion criteria of S8.3.6 are satisfied.,,is made,manual brake application,until the test completion criteria of S8.3.6 are satisfied.,S8.3.5(b)
1.199,S8.3.5(c),test,The pedestrian mannequin continues to move until the completion criteria of S8.3.6 are satisfied.,pedestrian mannequin,continues to move,,until the completion criteria of S8.3.6 are satisfied.,S8.3.5(c)
1.200,S8.5.2,environmental,The pedestrian test mannequin is set up in the 25 percent right offset position.,,is set up,pedestrian test mannequin,in the 25 percent right offset position,S8.5.2
1.201,S8.5.2,environmental,The subject vehicle test speed is any speed between 10 km/h and 65 km/h.,,is,subject vehicle test speed,any speed between 10 km/h and 65 km/h,S8.5.2
1.202,S8.5.2,environmental,The pedestrian test mannequin speed is 5 km/h.,,is,pedestrian test mannequin speed,5 km/h,S8.5.2
1.203,S8.5.2,environmental,"Before the headway corresponds to Lo, the subject vehicle is driven at any speed, in any direction, on any road surface, for any amount of time.",,is driven,subject vehicle,"Before the headway corresponds to Lo, at any speed, in any direction, on any road surface, for any amount of time",S8.5.2
1.204,S8.5.2,functional,The subject vehicle approaches the pedestrian test mannequin.,subject vehicle,approaches,pedestrian test mannequin,,S8.5.2
1.205,S8.5.2,performance,The subject vehicle test speed is maintained within 1.6 km/h of the test speed with minimal and smooth accelerator pedal inputs.,,is maintained within,subject vehicle test speed,1.6 km/h of the test speed with minimal and smooth accelerator pedal inputs,S8.5.2
1.206,S8.5.2,performance,"Beginning when the headway corresponds to Lo, the subject vehicle heading is maintained with minimal steering inputs such that the travel path does not deviate more than 0.3 m laterally from the intended travel path, and the yaw rate of the subject vehicle does not exceed ±1.0 deg/s prior to any automated braking onset.",,is maintained,subject vehicle heading,"Beginning when the headway corresponds to Lo, with minimal steering inputs, travel path does not deviate more than 0.3 m laterally from intended travel path, yaw rate does not exceed ±1.0 deg/s prior to automated braking onset",S8.5.2
1.207,S8.5.3,functional,The pedestrian test mannequin apparatus is triggered any time after the distance between the front plane of the subject vehicle and a parallel contact plane on the pedestrian test mannequin corresponds to Lo.,pedestrian test mannequin apparatus,triggered,,any time after the distance between the front plane of the subject vehicle and a parallel contact plane on the pedestrian test mannequin corresponds to Lo,FMVSS_127
1.208,S8.5.3,performance,The pedestrian test mannequin achieves its intended speed within 1.5 m after the apparatus begins to move and maintains its intended speed within 0.4 km/h until the test completion criteria of S8.5.4 are satisfied.,pedestrian test mannequin,achieves and maintains,intended speed,"within 1.5 m after the apparatus begins to move and until the test completion criteria of S8.5.4 are satisfied, maintaining within 0.4 km/h",FMVSS_127
1.209,S8.5.3(a),functional,"After forward collision warning or subject vehicle braking onset, the subject vehicle's accelerator pedal is released at any rate such that it is fully released within 500 ms.",subject vehicle,accelerator pedal is released,accelerator pedal,"after forward collision warning or subject vehicle braking onset, and at any rate such that it is fully released within 500 ms",FMVSS_127
1.210,S8.5.3(a),functional,This action is omitted for vehicles with cruise control active.,subject vehicle,omit,action,for vehicles with cruise control active,FMVSS_127
1.211,S8.5.3(b),functional,No manual brake application is made until the test completion criteria of S8.5.4 are satisfied.,subject vehicle,make,manual brake application,until the test completion criteria of S8.5.4 are satisfied,FMVSS_127
1.212,S9.2.1(a),test,The testing area is set up in accordance with figure 8 to this section.,,set up,testing area,in accordance with figure 8 to this section,S9.2.1(a)
1.213,S9.2.1(b),test,The steel trench plate is secured flat on the test surface so that its longest side is parallel to the vehicle's intended travel path and horizontally centered on the vehicle's intended travel path.,,secured,steel trench plate,"flat on the test surface, its longest side is parallel to the vehicle's intended travel path, horizontally centered on the vehicle's intended travel path",S9.2.1(b)
1.214,S9.2.1(c),test,The subject vehicle test speed is 80 km/h.,,is,subject vehicle test speed,,S9.2.1(c)
1.215,S9.2.1(d),test,Testing is conducted with manual brake application and without manual brake application.,,conducted,Testing,with manual brake application and without manual brake application,S9.2.1(d)
1.216,S9.2.1(e),environmental,Testing is conducted during daylight.,,conducted,Testing,during daylight,S9.2.1(e)
1.217,S9.2.3,test,"For tests where no manual brake application occurs, manual braking is not applied until the test completion criteria of S9.2.3 are satisfied.",,apply,manual braking,"For tests where no manual brake application occurs, until the test completion criteria of S9.2.3 are satisfied",S9.2.3
1.218,S9.2.3,test,"For tests where manual brake application occurs, the subject vehicle's accelerator pedal, if not already released, is released when the headway co   us u s   s    u  sdms.",subject vehicle,release,accelerator pedal,"For tests where manual brake application occurs, if not already released, when the headway co   us u s   s    u  sdms",S9.2.3
1.219,S10,test,"For tests where manual brake application occurs, the service brakes are applied as specified in S10.",,apply,service brakes,For tests where manual brake application occurs,S10
1.220,S9.2.3,test,The test run is complete when the subject vehicle comes to a stop prior to crossing over the leading edge of the steel trench plate or when the subject vehicle crosses over the leading edge of the steel trench plate.,,complete,test run,when the subject vehicle comes to a stop prior to crossing over the leading edge of the steel trench plate or when the subject vehicle crosses over the leading edge of the steel trench plate,S9.2.3
1.221,S9.3.1,test,The testing area is set up in accordance with figure 9 to this section.,,set up,testing area,in accordance with figure 9 to this section,S9.3.1
1.222,§596.7,test,"The legs are blue as defined in Annex B table B.2 of ISO 192064:2020, as tested in accordance with ISO 3668:2017.",,be,legs,"as defined in Annex B table B.2 of ISO 192064:2020, as tested in accordance with ISO 3668:2017",§596.7
1.223,§596.7,performance,The surface of the entire APTM or CPTM are within the reflectivity ranges specified in Annex B section B.2.2 of ISO 19206-2:2018.,,are,surface of the entire APTM or CPTM,within the reflectivity ranges specified in Annex B section B.2.2 of ISO 19206-2:2018,§596.7
1.224,§596.7,performance,The radar reflectivity characteristics of the pedestrian test depict from the side or from behind.,,depict,radar reflectivity characteristics of the pedestrian test,from the side or from behind,§596.7
1.225,§596.7,test,"The radar cross section measurements of the APTM and the CPTM is within the upper and lower boundaries shown in Annex B, section B.3, figure B.6 of ISO 19206-2:2018 when tested in accordance with the measure procedure in Annex C, section C.3, Scenario 2.",,is,radar cross section measurements of the APTM and the CPTM,"within the upper and lower boundaries shown in Annex B, section B.3, figure B.6 of ISO 19206-2:2018 when tested in accordance with the measure procedure in Annex C, section C.3, Scenario 2",§596.7
1.226,596.9(a),functional,The vehicle test device provides a sensor representation of a passenger motor vehicle.,vehicle test device,provides,sensor representation of a passenger motor vehicle,,§596.9(a)
1.227,§ 596.10,functional,"The rear view of the vehicle test device contains representations of the vehicle silhouette, a rear window, a high-mounted stop lamp, two taillamps, a rear license plate, two rear reflex reflectors, and two tires.",vehicle test device,contains representations of,"the vehicle silhouette, a rear window, a high-mounted stop lamp, two taillamps, a rear license plate, two rear reflex reflectors, and two tires",,§ 596.10
1.228,§ 596.10,performance,The rear silhouette and the rear window are symmetrical about a shared vertical centerline.,rear silhouette and the rear window,are symmetrical,a shared vertical centerline,,§ 596.10
1.229,§ 596.10,performance,"Representations of the taillamps, rear reflex reflectors, and tires are symmetrical about the surrogate's centerline.","Representations of the taillamps, rear reflex reflectors, and tires",are symmetrical,the surrogate's centerline,,§ 596.10
1.230,(e)(1),performance,The radar cross section of the vehicle test device is measured with it attached to the carrier (robotic platform).,,measured,radar cross section,with it attached to the carrier (robotic platform),(e)(1)
1.231,(e)(1),performance,The radar reflectivity of the carrier platform is less than 0 dBm² for a viewing angle as specified in Section C.3 of ISO 192063:2021 Annex C.,,is,radar reflectivity of the carrier platform,less than 0 dBm² for a viewing angle as specified in ISO 192063:2021 Annex C,(e)(1)
1.232,(e)(2),performance,The rear bumper area as shown in Table C.1 of ISO 19206-3:2021 Annex C contributes to the target radar cross section.,,contributes,rear bumper area,as shown in Table C.1 of ISO 19206-3:2021 Annex C,(e)(2)
1.233,(e)(3),test,"The radar cross section is assessed using radar sensor that operates at 76 to 81 GHz and has a range of at least 5 to 100 m, a range gate length smaller than 0.6m, a horizontal field of view of 10 degrees or more (-3dB amplitude limit), and an elevation field of view of 5 degrees or more (-3dB amplitude).",,assessed,radar cross section,using radar sensor that operates at 76 to 81 GHz and has specified parameters,(e)(3)
1.234,3,functional,An FCW system is able to use the sensors' input to determine the speed of an object in front of it and the distance between the vehicle and the object.,FCW system,use,sensors' input,to determine the speed of an object in front of it and the distance between the vehicle and the object.,3
1.235,3,functional,"If the FCW system determines that the closing distance and velocity between the vehicle and the object is such that a collision may be imminent, the system is designed to induce an immediate forward crash avoidance response by the vehicle operator.",FCW system,induce,immediate forward crash avoidance response,if the FCW system determines that the closing distance and velocity between the vehicle and the object is such that a collision may be imminent,3
1.236,3,functional,"FCW systems may detect impending collisions with any number of roadway obstacles, including vehicles and pedestrians.",FCW systems,detect,"impending collisions with any number of roadway obstacles, including vehicles and pedestrians",,3
1.237,3,functional,"Warning systems in use today provide drivers with a visual warning signal, such as an illuminated telltale on or near the instrument panel, an auditory signal, or a haptic signal that provides tactile feedback to the driver to warn the driver of an impending collision so the driver may intervene.",Warning systems,provide,drivers,"with a visual warning signal, such as an illuminated telltale on or near the instrument panel, an auditory signal, or a haptic signal that provides tactile feedback to the driver to warn the driver of an impending collision so the driver may intervene",3
1.238,3,functional,FCW systems alone do not brake the vehicle.,FCW systems,do not brake,the vehicle,alone,3
1.239,4,functional,AEB refers to a system that has: (a) an FCW component to alert the driver to an impending collision with a forward obstacle; (b) a CIB component that automatically applies the vehicle's brakes if the driver does not respond to the FCW; and (c) a DBS component that automatically supplements the driver's brake application if the driver applies insufficient manual braking to avoid a crash.,AEB system,include,"FCW component, CIB component, DBS component",,4
1.240,54,functional,NHTSA should bear in mind that Congress intended safety to be the preeminent factor under the Motor Vehicle Safety Act.,NHTSA,bear in mind,safety as the preeminent factor,,54
1.241,54,performance,"At 60 km/h (37.3 mph) automatic braking would need to occur at a minimum distance to the pedestrian of 20.25 meters with a 0.7g stop, which is a TTC of 1.21 sec.",automatic braking system,occur,minimum distance to the pedestrian of 20.25 meters with a 0.7g stop,At 60 km/h (37.3 mph),54
1.242,139,performance,The performance of each AEB system depends on the ability of the system to use sensor data to appropriately detect and classify forward objects.,AEB system,use,sensor data,to appropriately detect and classify forward objects,139
